1,Hill,GBR,Williams Renault,97,1996
2,Villeneuve,CAN,Williams Renault,78,1996
3,Schumacher,GER,Ferrari,59,1996
4,Alesi,FRA,Benetton Renault,47,1996
5,Hakkinen,FIN,McLaren Mercedes,31,1996
6,Berger,AUT,Benetton Renault,21,1996
7,Coulthard,GBR,McLaren Mercedes,18,1996
8,Barrichello,BRA,Jordan Peugeot,14,1996
9,Panis,FRA,Ligier Mugen Honda,13,1996
10,Irvine,GBR,Ferrari,11,1996
11,Brundle,GBR,Jordan Peugeot,8,1996
12,Frentzen,GER,Sauber Ford,7,1996
13,Salo,FIN,Tyrrell Yamaha,5,1996
14,Herbert,GBR,Sauber Ford,4,1996
15,Diniz,BRA,Ligier Mugen Honda,2,1996
16,Verstappen,NED,Footwork Hart,1,1996
