1,Prost,FRA,McLaren TAG,73,1985
2,Alboreto,ITA,Ferrari,53,1985
3,Rosberg,FIN,Williams Honda,40,1985
4,Senna,BRA,Lotus Renault,38,1985
5,de Angelis,ITA,Lotus Renault,33,1985
6,Mansell,GBR,Williams Honda,31,1985
7,Johansson,SWE,Ferrari,26,1985
8,Piquet,BRA,Brabham BMW,21,1985
9,Laffite,FRA,Ligier Renault,16,1985
10,Lauda,AUT,McLaren TAG,14,1985
11,Boutsen,BEL,Arrows BMW,11,1985
12,Tambay,FRA,Renault,11,1985
13,Surer,SUI,Brabham BMW,5,1985
14,Warwick,GBR,Renault,5,1985
15,Streiff,FRA,Ligier Renault,4,1985
16,Bellof,GER,Tyrrell Renault,4,1985
17,de Cesaris,ITA,Ligier Renault,3,1985
18,Arnoux,FRA,Ferrari,3,1985
19,Capelli,ITA,Tyrrell Renault,3,1985
20,Berger,AUT,Arrows BMW,3,1985
