1,Hakkinen,FIN,McLaren Mercedes,76,1999
2,Irvine,GBR,Ferrari,74,1999
3,Frentzen,GER,Jordan Mugen Honda,54,1999
4,Coulthard,GBR,McLaren Mercedes,48,1999
5,Schumacher,GER,Ferrari,44,1999
6,Schumacher,GER,Williams Supertec,35,1999
7,Barrichello,BRA,Stewart Ford,21,1999
8,Herbert,GBR,Stewart Ford,15,1999
9,Fisichella,ITA,Benetton Playlife,13,1999
10,Salo,FIN,Ferrari,10,1999
11,Trulli,ITA,Prost Peugeot,7,1999
12,Hill,GBR,Jordan Mugen Honda,7,1999
13,Wurz,AUT,Benetton Playlife,3,1999
14,Diniz,BRA,Sauber Petronas,3,1999
15,Panis,FRA,Prost Peugeot,2,1999
16,Alesi,FRA,Sauber Petronas,2,1999
17,de la Rosa,ESP,Arrows,1,1999
18,Gene,ESP,Minardi Ford,1,1999
