1,Hamilton,GBR,Mercedes,381,2015
2,Rosberg,GER,Mercedes,322,2015
3,Vettel,GER,Ferrari,278,2015
4,Räikkönen,FIN,Ferrari,150,2015
5,Bottas,FIN,Williams Mercedes,136,2015
6,Massa,BRA,Williams Mercedes,121,2015
7,Kvyat,RUS,Red Bull Racing Renault,95,2015
8,Ricciardo,AUS,Red Bull Racing Renault,92,2015
9,Perez,MEX,Force India Mercedes,78,2015
10,Hulkenberg,GER,Force India Mercedes,58,2015
11,Grosjean,FRA,Lotus Mercedes,51,2015
12,Verstappen,NED,STR Renault,49,2015
13,Nasr,BRA,Sauber Ferrari,27,2015
14,Maldonado,VEN,Lotus Mercedes,27,2015
15,Sainz,ESP,STR Renault,18,2015
16,Button,GBR,McLaren Honda,16,2015
17,Alonso,ESP,McLaren Honda,11,2015
18,Ericsson,SWE,Sauber Ferrari,9,2015
19,Merhi,ESP,Marussia Ferrari,0,2015
20,Rossi,USA,Marussia Ferrari,0,2015
21,Stevens,GBR,Marussia Ferrari,0,2015
