1,Räikkönen,FIN,Ferrari,110,2007
2,Hamilton,GBR,McLaren Mercedes,109,2007
3,Alonso,ESP,McLaren Mercedes,109,2007
4,Massa,BRA,Ferrari,94,2007
5,Heidfeld,GER,Sauber BMW,61,2007
6,Kubica,POL,Sauber BMW,39,2007
7,Kovalainen,FIN,Renault,30,2007
8,Fisichella,ITA,Renault,21,2007
9,Rosberg,GER,Williams Toyota,20,2007
10,Coulthard,GBR,Red Bull Renault,14,2007
11,Wurz,AUT,Williams Toyota,13,2007
12,Webber,AUS,Red Bull Renault,10,2007
13,Trulli,ITA,Toyota,8,2007
14,Vettel,GER,STR Ferrari,6,2007
15,Button,GBR,Honda,6,2007
16,Schumacher,GER,Toyota,5,2007
17,Sato,JPN,Super Aguri Honda,4,2007
18,Liuzzi,ITA,STR Ferrari,3,2007
19,Sutil,GER,Spyker Ferrari,1,2007
20,Barrichello,BRA,Honda,0,2007
21,Speed,USA,STR Ferrari,0,2007
22,Nakajima,JPN,Williams Toyota,0,2007
23,Davidson,GBR,Super Aguri Honda,0,2007
24,Yamamoto,JPN,Spyker Ferrari,0,2007
25,Albers,NED,Spyker Ferrari,0,2007
