1,Villeneuve,CAN,Williams Renault,81,1997
DQ,Schumacher,GER,Ferrari,78,1997
2,Frentzen,GER,Williams Renault,42,1997
3,Coulthard,GBR,McLaren Mercedes,36,1997
4,Alesi,FRA,Benetton Renault,36,1997
5,Berger,AUT,Benetton Renault,27,1997
6,Hakkinen,FIN,McLaren Mercedes,27,1997
7,Irvine,GBR,Ferrari,24,1997
8,Fisichella,ITA,Jordan Peugeot,20,1997
9,Panis,FRA,Prost Mugen Honda,16,1997
10,Herbert,GBR,Sauber Petronas,15,1997
11,Schumacher,GER,Jordan Peugeot,13,1997
12,Hill,GBR,Arrows Yamaha,7,1997
13,Barrichello,BRA,Stewart Ford,6,1997
14,Wurz,AUT,Benetton Renault,4,1997
15,Trulli,ITA,Prost Mugen Honda,3,1997
16,Salo,FIN,Tyrrell Ford,2,1997
17,Diniz,BRA,Arrows Yamaha,2,1997
18,Nakano,JPN,Prost Mugen Honda,2,1997
19,Larini,ITA,Sauber Petronas,1,1997
