1,Hill,USA,Ferrari,34,1961
2,von Trips,GER,Ferrari,33,1961
3,Moss,GBR,Lotus Climax,21,1961
3,Gurney,USA,Porsche,21,1961
5,Ginther,USA,Ferrari,16,1961
6,Ireland,GBR,Lotus Climax,12,1961
7,Clark,GBR,Lotus Climax,11,1961
7,McLaren,NZL,Cooper Climax,11,1961
9,Baghetti,ITA,Ferrari,9,1961
10,Brooks,GBR,BRM Climax,6,1961
11,Brabham,AUS,Cooper Climax,4,1961
11,Surtees,GBR,Cooper Climax,4,1961
13,Gendebien,BEL,Lotus Climax,3,1961
13,Lewis,GBR,Cooper Climax,3,1961
13,Bonnier,SWE,Porsche,3,1961
13,Hill,GBR,BRM Climax,3,1961
17,Salvadori,GBR,Cooper Climax,2,1961
