1,Stewart,GBR,Tyrrell Ford,71,1973
2,Fittipaldi,BRA,Lotus Ford,55,1973
3,Peterson,SWE,Lotus Ford,52,1973
4,Cevert,FRA,Tyrrell Ford,47,1973
5,Revson,USA,McLaren Ford,38,1973
6,Hulme,NZL,McLaren Ford,26,1973
7,Reutemann,ARG,Brabham Ford,16,1973
8,Hunt,GBR,March Ford,14,1973
9,Ickx,BEL,Iso Marlboro Ford,12,1973
10,Beltoise,FRA,BRM,9,1973
11,Pace,BRA,Surtees Ford,7,1973
12,Merzario,ITA,Ferrari,6,1973
13,Follmer,USA,Shadow Ford,5,1973
14,Oliver,GBR,Shadow Ford,4,1973
15,de Adamich,ITA,Brabham Ford,3,1973
15,Fittipaldi,BRA,Brabham Ford,3,1973
17,Lauda,AUT,BRM,2,1973
17,Regazzoni,SUI,BRM,2,1973
19,Amon,NZL,Tyrrell Ford,1,1973
19,van Lennep,NED,Iso Marlboro Ford,1,1973
19,Ganley,NZL,Iso Marlboro Ford,1,1973
