1,Brabham,AUS,Cooper Climax,43,1960
2,McLaren,NZL,Cooper Climax,34,1960
3,Moss,GBR,Lotus Climax,19,1960
4,Ireland,GBR,Lotus Climax,18,1960
5,Hill,USA,Cooper Climax,16,1960
6,Gendebien,BEL,Cooper Climax,10,1960
6,von Trips,GER,Cooper Maserati,10,1960
8,Rathmann,USA,Watson Offenhauser,8,1960
8,Ginther,USA,Ferrari,8,1960
8,Clark,GBR,Lotus Climax,8,1960
11,Brooks,GBR,Cooper Climax,7,1960
12,Allison,GBR,Ferrari,6,1960
12,Ward,USA,Watson Offenhauser,6,1960
12,Surtees,GBR,Lotus Climax,6,1960
15,Goldsmith,USA,Epperly Offenhauser,4,1960
15,Hill,GBR,BRM,4,1960
15,Mairesse,BEL,Ferrari,4,1960
15,Bonnier,SWE,BRM,4,1960
19,Menditeguy,ARG,Cooper Maserati,3,1960
19,Branson,USA,Phillips Offenhauser,3,1960
19,Taylor,GBR,Cooper Climax,3,1960
19,Cabianca,ITA,Cooper Castellotti,3,1960
23,Thomson,USA,Lesovsky Offenhauser,2,1960
24,Johnson,USA,Trevis Offenhauser,1,1960
24,Bianchi,BEL,Cooper Climax,1,1960
24,Flockhart,GBR,Cooper Climax,1,1960
24,Herrmann,GER,Porsche,1,1960
