1,Jones,AUS,Williams Ford,67,1980
2,Piquet,BRA,Brabham Ford,54,1980
3,Reutemann,ARG,Williams Ford,42,1980
4,Laffite,FRA,Ligier Ford,34,1980
5,Pironi,FRA,Ligier Ford,32,1980
6,Arnoux,FRA,Renault,29,1980
7,de Angelis,ITA,Lotus Ford,13,1980
8,Jabouille,FRA,Renault,9,1980
9,Patrese,ITA,Arrows Ford,7,1980
10,Rosberg,FIN,Fittipaldi Ford,6,1980
10,Daly,IRL,Tyrrell Ford,6,1980
10,Watson,GBR,McLaren Ford,6,1980
10,Jarier,FRA,Tyrrell Ford,6,1980
10,Villeneuve,CAN,Ferrari,6,1980
15,Fittipaldi,BRA,Fittipaldi Ford,5,1980
15,Prost,FRA,McLaren Ford,5,1980
17,Mass,GER,Arrows Ford,4,1980
17,Giacomelli,ITA,Alfa Romeo,4,1980
19,Scheckter,RSA,Ferrari,2,1980
20,Rebaque,MEX,Brabham Ford,1,1980
20,Andretti,USA,Lotus Ford,1,1980
