1,Brabham,AUS,Cooper Climax,31,1959
2,Brooks,GBR,Ferrari,27,1959
3,Moss,GBR,Cooper Climax,25.5,1959
4,Hill,USA,Ferrari,20,1959
5,Trintignant,FRA,Cooper Climax,19,1959
6,McLaren,NZL,Cooper Climax,16.5,1959
7,Gurney,USA,Ferrari,13,1959
8,Bonnier,SWE,BRM,10,1959
8,Gregory,USA,Cooper Climax,10,1959
10,Ward,USA,Kurtis Kraft Offenhauser,8,1959
11,Rathmann,USA,Watson Offenhauser,6,1959
12,Thomson,USA,Lesovsky Offenhauser,5,1959
12,Ireland,GBR,Lotus Climax,5,1959
12,Schell,USA,Cooper Climax,5,1959
15,Bettenhausen,USA,Epperly Offenhauser,3,1959
15,Gendebien,BEL,Ferrari,3,1959
17,Goldsmith,USA,Epperly Offenhauser,2,1959
17,Behra,FRA,Ferrari,2,1959
17,Allison,GBR,Ferrari,2,1959
