1,Hill,GBR,BRM,42,1962
2,Clark,GBR,Lotus Climax,30,1962
3,McLaren,NZL,Cooper Climax,27,1962
4,Surtees,GBR,Lola Climax,19,1962
5,Gurney,USA,Porsche,15,1962
6,Hill,USA,Ferrari,14,1962
7,Maggs,RSA,Cooper Climax,13,1962
8,Ginther,USA,BRM,10,1962
9,Brabham,AUS,Brabham Climax,9,1962
10,Taylor,GBR,Lotus Climax,6,1962
11,Baghetti,ITA,Ferrari,5,1962
12,Bandini,ITA,Ferrari,4,1962
12,Rodriguez,MEX,Ferrari,4,1962
14,Mairesse,BEL,Ferrari,3,1962
14,Bonnier,SWE,Porsche,3,1962
16,Ireland,GBR,Lotus Climax,2,1962
16,de Beaufort,NED,Porsche,2,1962
18,Gregory,USA,Lotus BRM,1,1962
18,Lederle,RSA,Lotus Climax,1,1962
