1,Fittipaldi,BRA,Lotus Ford,61,1972
2,Stewart,GBR,Tyrrell Ford,45,1972
3,Hulme,NZL,McLaren Ford,39,1972
4,Ickx,BEL,Ferrari,27,1972
5,Revson,USA,McLaren Ford,23,1972
6,Cevert,FRA,Tyrrell Ford,15,1972
6,Regazzoni,SUI,Ferrari,15,1972
8,Hailwood,GBR,Surtees Ford,13,1972
9,Peterson,SWE,March Ford,12,1972
9,Amon,NZL,Matra,12,1972
11,Beltoise,FRA,BRM,9,1972
12,Andretti,USA,Ferrari,4,1972
12,Ganley,NZL,BRM,4,1972
12,Redman,GBR,BRM,4,1972
12,Hill,GBR,Brabham Ford,4,1972
16,de Adamich,ITA,Surtees Ford,3,1972
16,Reutemann,ARG,Brabham Ford,3,1972
16,Pace,BRA,March Ford,3,1972
19,Schenken,AUS,Surtees Ford,2,1972
20,Merzario,ITA,Ferrari,1,1972
20,Gethin,GBR,BRM,1,1972
