1,Prost,FRA,McLaren Honda,76,1989
2,Senna,BRA,McLaren Honda,60,1989
3,Patrese,ITA,Williams Renault,40,1989
4,Mansell,GBR,Ferrari,38,1989
5,Boutsen,BEL,Williams Renault,37,1989
6,Nannini,ITA,Benetton Ford,32,1989
7,Berger,AUT,Ferrari,21,1989
8,Piquet,BRA,Lotus Judd,12,1989
9,Alesi,FRA,Tyrrell Ford,8,1989
10,Warwick,GBR,Arrows Ford,7,1989
11,Johansson,SWE,Onyx Ford,6,1989
11,Alboreto,ITA,Lola Lamborghini,6,1989
11,Cheever,USA,Arrows Ford,6,1989
14,Herbert,GBR,Tyrrell Ford,5,1989
15,Martini,ITA,Minardi Ford,5,1989
16,de Cesaris,ITA,Dallara Ford,4,1989
16,Gugelmin,BRA,March Judd,4,1989
16,Modena,ITA,Brabham Judd,4,1989
19,Caffi,ITA,Dallara Ford,4,1989
20,Brundle,GBR,Brabham Judd,4,1989
21,Danner,GER,Rial Ford,3,1989
21,Nakajima,JPN,Lotus Judd,3,1989
23,Arnoux,FRA,Ligier Ford,2,1989
23,Pirro,ITA,Benetton Ford,2,1989
25,Palmer,GBR,Tyrrell Ford,2,1989
26,Tarquini,ITA,AGS Ford,1,1989
26,Alliot,FRA,Lola Lamborghini,1,1989
26,Grouillard,FRA,Ligier Ford,1,1989
26,Perez-Sala,ESP,Minardi Ford,1,1989
