1,Fangio,ARG,Ferrari,30,1956
2,Moss,GBR,Maserati,27,1956
3,Collins,GBR,Ferrari,25,1956
4,Behra,FRA,Maserati,22,1956
5,Flaherty,USA,Watson Offenhauser,8,1956
6,Castellotti,ITA,Ferrari,7.5,1956
7,Hanks,USA,Kurtis Kraft Offenhauser,6,1956
7,Frere,BEL,Ferrari,6,1956
7,Godia,ESP,Maserati,6,1956
10,Fairman,GBR,Connaught Alta,5,1956
11,Hawthorn,GBR,BRM,4,1956
11,Musso,ITA,Ferrari,4,1956
11,Freeland,USA,Phillips Offenhauser,4,1956
11,Flockhart,GBR,Connaught Alta,4,1956
15,Parsons,USA,Kuzma Offenhauser,3,1956
15,Schell,USA,Vanwall,3,1956
15,de Portago,ESP,Ferrari,3,1956
15,Perdisa,ITA,Maserati,3,1956
19,Gendebien,BEL,Ferrari,2,1956
19,da Silva Ramos,BRA,Gordini,2,1956
19,Rathmann,USA,Kurtis Kraft Offenhauser,2,1956
19,Villoresi,ITA,Maserati,2,1956
19,Gould,GBR,Maserati,2,1956
19,Rosier,FRA,Maserati,2,1956
25,Gerini,ITA,Maserati,1.5,1956
25,Landi,BRA,Maserati,1.5,1956
27,Russo,USA,Kurtis Kraft Novi,1,1956
