1,Stewart,GBR,Matra Ford,63,1969
2,Ickx,BEL,Brabham Ford,37,1969
3,McLaren,NZL,McLaren Ford,26,1969
4,Rindt,AUT,Lotus Ford,22,1969
5,Beltoise,FRA,Matra Ford,21,1969
6,Hulme,NZL,McLaren Ford,20,1969
7,Hill,GBR,Lotus Ford,19,1969
8,Courage,GBR,Brabham Ford,16,1969
9,Siffert,SUI,Lotus Ford,15,1969
10,Brabham,AUS,Brabham Ford,14,1969
11,Surtees,GBR,BRM,6,1969
12,Amon,NZL,Ferrari,4,1969
13,Attwood,GBR,null,3,1969
13,Elford,GBR,McLaren Ford,3,1969
13,Rodriguez,MEX,Ferrari,3,1969
16,Servoz-Gavin,FRA,Matra Ford,1,1969
16,Moser,SUI,Brabham Ford,1,1969
16,Oliver,GBR,BRM,1,1969
