1,Fangio,ARG,Maserati,40,1957
2,Moss,GBR,Vanwall,25,1957
3,Musso,ITA,Ferrari,16,1957
4,Hawthorn,GBR,Ferrari,13,1957
5,Brooks,GBR,Vanwall,11,1957
6,Gregory,USA,Maserati,10,1957
6,Schell,USA,Maserati,10,1957
8,Hanks,USA,Epperly Offenhauser,8,1957
8,Collins,GBR,Ferrari,8,1957
10,Rathmann,USA,Epperly Offenhauser,7,1957
11,Behra,FRA,Maserati,6,1957
12,Lewis-Evans,GBR,Vanwall,5,1957
12,Trintignant,FRA,Ferrari,5,1957
14,Menditeguy,ARG,Maserati,4,1957
14,Bryan,USA,Kuzma Offenhauser,4,1957
14,von Trips,GER,Ferrari,4,1957
17,Russo,USA,Kurtis Kraft Novi,3,1957
18,Linden,USA,Kurtis Kraft Offenhauser,2,1957
18,Salvadori,GBR,Cooper Climax,2,1957
20,de Portago,ESP,Ferrari,1,1957
20,Gonzalez,ARG,Ferrari,1,1957
20,Scarlatti,ITA,Maserati,1,1957
