DriverID,TeamID,SeasonRefID
811,151,73
812,147,73
827,152,73
828,150,73
835,144,73
840,149,73
844,148,73
845,152,73
850,146,73
852,145,73
853,147,73
856,148,73
857,153,73
858,150,73
859,151,73
862,153,73
864,149,73
865,145,73
866,144,73
778,146,73
