Australia,9-Mar-97,Coulthard,McLaren Mercedes,58,1997
Brazil,30-Mar-97,Villeneuve,Williams Renault,72,1997
Argentina,13-Apr-97,Villeneuve,Williams Renault,72,1997
San Marino,27-Apr-97,Frentzen,Williams Renault,62,1997
Monaco,11-May-97,Schumacher,Ferrari,62,1997
Spain,25-May-97,Villeneuve,Williams Renault,64,1997
Canada,15-Jun-97,Schumacher,Ferrari,54,1997
France,29-Jun-97,Schumacher,Ferrari,72,1997
Great Britain,13-Jul-97,Villeneuve,Williams Renault,59,1997
Germany,27-Jul-97,Berger,Benetton Renault,45,1997
Hungary,10-Aug-97,Villeneuve,Williams Renault,77,1997
Belgium,24-Aug-97,Schumacher,Ferrari,44,1997
Italy,7-Sep-97,Coulthard,McLaren Mercedes,53,1997
Austria,21-Sep-97,Villeneuve,Williams Renault,71,1997
Luxembourg,28-Sep-97,Villeneuve,Williams Renault,67,1997
Japan,12-Oct-97,Schumacher,Ferrari,53,1997
Europe,26-Oct-97,Hakkinen,McLaren Mercedes,69,1997
