Australia,7-Mar-99,Irvine,Ferrari,57,1999
Brazil,11-Apr-99,Hakkinen,McLaren Mercedes,72,1999
San Marino,2-May-99,Schumacher,Ferrari,62,1999
Monaco,16-May-99,Schumacher,Ferrari,78,1999
Spain,30-May-99,Hakkinen,McLaren Mercedes,65,1999
Canada,13-Jun-99,Hakkinen,McLaren Mercedes,69,1999
France,27-Jun-99,Frentzen,Jordan Mugen Honda,72,1999
Great Britain,11-Jul-99,Coulthard,McLaren Mercedes,60,1999
Austria,25-Jul-99,Irvine,Ferrari,71,1999
Germany,1-Aug-99,Irvine,Ferrari,45,1999
Hungary,15-Aug-99,Hakkinen,McLaren Mercedes,77,1999
Belgium,29-Aug-99,Coulthard,McLaren Mercedes,44,1999
Italy,12-Sep-99,Frentzen,Jordan Mugen Honda,53,1999
Europe,26-Sep-99,Herbert,Stewart Ford,66,1999
Malaysia,17-Oct-99,Irvine,Ferrari,56,1999
Japan,31-Oct-99,Hakkinen,McLaren Mercedes,53,1999
