Australia,20-Mar-16,Rosberg,Mercedes,57,2016
Bahrain,3-Apr-16,Rosberg,Mercedes,57,2016
China,17-Apr-16,Rosberg,Mercedes,56,2016
Russia,1-May-16,Rosberg,Mercedes,53,2016
Spain,15-May-16,Verstappen,Red Bull Racing TAG Heuer,66,2016
Monaco,29-May-16,Hamilton,Mercedes,78,2016
Canada,12-Jun-16,Hamilton,Mercedes,70,2016
Europe,19-Jun-16,Rosberg,Mercedes,51,2016
Austria,3-Jul-16,Hamilton,Mercedes,71,2016
Great Britain,10-Jul-16,Hamilton,Mercedes,52,2016
Hungary,24-Jul-16,Hamilton,Mercedes,70,2016
Germany,31-Jul-16,Hamilton,Mercedes,67,2016
Belgium,28-Aug-16,Rosberg,Mercedes,44,2016
Italy,4-Sep-16,Rosberg,Mercedes,53,2016
Singapore,18-Sep-16,Rosberg,Mercedes,61,2016
Malaysia,2-Oct-16,Ricciardo,Red Bull Racing TAG Heuer,56,2016
Japan,9-Oct-16,Rosberg,Mercedes,53,2016
United States,23-Oct-16,Hamilton,Mercedes,56,2016
Mexico,30-Oct-16,Hamilton,Mercedes,71,2016
Brazil,13-Nov-16,Hamilton,Mercedes,71,2016
Abu Dhabi,27-Nov-16,Hamilton,Mercedes,55,2016
