Australia,10-Mar-96,Hill,Williams Renault,58,1996
Brazil,31-Mar-96,Hill,Williams Renault,71,1996
Argentina,7-Apr-96,Hill,Williams Renault,72,1996
Europe,28-Apr-96,Villeneuve,Williams Renault,67,1996
San Marino,5-May-96,Hill,Williams Renault,63,1996
Monaco,19-May-96,Panis,Ligier Mugen Honda,75,1996
Spain,2-Jun-96,Schumacher,Ferrari,65,1996
Canada,16-Jun-96,Hill,Williams Renault,69,1996
France,30-Jun-96,Hill,Williams Renault,72,1996
Great Britain,14-Jul-96,Villeneuve,Williams Renault,61,1996
Germany,28-Jul-96,Hill,Williams Renault,45,1996
Hungary,11-Aug-96,Villeneuve,Williams Renault,77,1996
Belgium,25-Aug-96,Schumacher,Ferrari,44,1996
Italy,8-Sep-96,Schumacher,Ferrari,53,1996
Portugal,22-Sep-96,Villeneuve,Williams Renault,70,1996
Japan,13-Oct-96,Hill,Williams Renault,52,1996
