Australia,18-Mar-12,Button,McLaren Mercedes,58,2012
Malaysia,25-Mar-12,Alonso,Ferrari,56,2012
China,15-Apr-12,Rosberg,Mercedes,56,2012
Bahrain,22-Apr-12,Vettel,Red Bull Racing Renault,57,2012
Spain,13-May-12,Maldonado,Williams Renault,66,2012
Monaco,27-May-12,Webber,Red Bull Racing Renault,78,2012
Canada,10-Jun-12,Hamilton,McLaren Mercedes,70,2012
Europe,24-Jun-12,Alonso,Ferrari,57,2012
Great Britain,8-Jul-12,Webber,Red Bull Racing Renault,52,2012
Germany,22-Jul-12,Alonso,Ferrari,67,2012
Hungary,29-Jul-12,Hamilton,McLaren Mercedes,69,2012
Belgium,2-Sep-12,Button,McLaren Mercedes,44,2012
Italy,9-Sep-12,Hamilton,McLaren Mercedes,53,2012
Singapore,23-Sep-12,Vettel,Red Bull Racing Renault,59,2012
Japan,7-Oct-12,Vettel,Red Bull Racing Renault,53,2012
South Korea,14-Oct-12,Vettel,Red Bull Racing Renault,55,2012
India,28-Oct-12,Vettel,Red Bull Racing Renault,60,2012
Abu Dhabi,4-Nov-12,Räikkönen,Lotus Renault,55,2012
United States,18-Nov-12,Hamilton,McLaren Mercedes,56,2012
Brazil,25-Nov-12,Button,McLaren Mercedes,71,2012
