date,driver_number,meeting_key,recording_url,session_key
2023-03-03 15:41:35.434000,23,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/ALEALB01_23_20230303_154119.mp3,7766
2023-03-03 15:50:59.677000,11,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/SERPER01_11_20230303_154320.mp3,7766
2023-03-03 15:50:59.849000,2,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LOGSAR01_2_20230303_155032.mp3,7766
2023-03-03 15:53:13.176000,18,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LANSTR01_18_20230303_155227.mp3,7766
2023-03-03 15:58:12.876000,2,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LOGSAR01_2_20230303_155740.mp3,7766
2023-03-03 15:58:13.141000,44,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LEWHAM01_44_20230303_155814.mp3,7766
2023-03-03 15:58:47.922000,16,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/CHALEC01_16_20230303_155840.mp3,7766
2023-03-03 15:59:20.253000,10,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/PIEGAS01_10_20230303_155853.mp3,7766
2023-03-03 16:02:41.597000,63,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/GEORUS01_63_20230303_160222.mp3,7766
2023-03-04 11:31:02.992000,4,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113055.mp3,7767
2023-03-04 11:32:42.533000,4,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113208.mp3,7767
2023-03-04 11:33:16.493000,4,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113257.mp3,7767
2023-03-04 11:36:02.786000,27,1141,https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_113549.mp3,7767
