Australia,Ricciardo,Red Bull Racing TAG Heuer,01:25.9,2018
Bahrain,Bottas,Mercedes,01:33.7,2018
China,Ricciardo,Red Bull Racing TAG Heuer,01:35.8,2018
Azerbaijan,Bottas,Mercedes,01:45.1,2018
Spain,Ricciardo,Red Bull Racing TAG Heuer,01:18.4,2018
Monaco,Verstappen,Red Bull Racing TAG Heuer,01:14.3,2018
Canada,Verstappen,Red Bull Racing TAG Heuer,01:13.9,2018
France,Bottas,Mercedes,01:34.2,2018
Austria,Räikkönen,Ferrari,01:07.0,2018
Great Britain,Vettel,Ferrari,01:30.7,2018
Germany,Hamilton,Mercedes,01:15.5,2018
Hungary,Ricciardo,Red Bull Racing TAG Heuer,01:20.0,2018
Belgium,Bottas,Mercedes,01:46.3,2018
Italy,Hamilton,Mercedes,01:22.5,2018
Singapore,Magnussen,Haas Ferrari,01:41.9,2018
Russia,Bottas,Mercedes,01:35.9,2018
Japan,Vettel,Ferrari,01:32.3,2018
United States,Hamilton,Mercedes,01:37.4,2018
Mexico,Bottas,Mercedes,01:18.7,2018
Brazil,Bottas,Mercedes,01:10.5,2018
Abu Dhabi,Vettel,Ferrari,01:40.9,2018
