Argentina,Villeneuve,Ferrari,01:49.8,1978
Brazil,Reutemann,Ferrari,01:43.1,1978
South Africa,Andretti,Lotus Ford,01:17.1,1978
USA West,Jones,Williams Ford,01:22.2,1978
Monaco,Lauda,Brabham Alfa Romeo,01:28.7,1978
Belgium,Peterson,Lotus Ford,01:23.1,1978
Spain,Andretti,Lotus Ford,01:20.1,1978
Sweden,Lauda,Brabham Alfa Romeo,01:24.8,1978
France,Reutemann,Ferrari,01:48.6,1978
Great Britain,Lauda,Brabham Alfa Romeo,01:18.6,1978
Germany,Peterson,Lotus Ford,01:55.6,1978
Austria,Peterson,Lotus Ford,01:43.1,1978
Netherlands,Lauda,Brabham Alfa Romeo,01:19.6,1978
Italy,Andretti,Lotus Ford,01:38.2,1978
USA East,Jarier,Lotus Ford,01:39.6,1978
Canada,Jones,Williams Ford,01:38.1,1978
