Bahrain,Alonso,Ferrari,01:58.3,2010
Australia,Webber,RBR Renault,01:28.4,2010
Malaysia,Webber,RBR Renault,01:37.1,2010
China,Hamilton,McLaren Mercedes,01:42.1,2010
Spain,Hamilton,McLaren Mercedes,01:24.4,2010
Monaco,Vettel,RBR Renault,01:15.2,2010
Turkey,Petrov,Renault,01:29.2,2010
Canada,Kubica,Renault,01:17.0,2010
Europe,Button,McLaren Mercedes,01:38.8,2010
Great Britain,Alonso,Ferrari,01:30.9,2010
Germany,Vettel,RBR Renault,01:15.8,2010
Hungary,Vettel,RBR Renault,01:22.4,2010
Belgium,Hamilton,McLaren Mercedes,01:49.1,2010
Italy,Alonso,Ferrari,01:24.1,2010
Singapore,Alonso,Ferrari,01:48.0,2010
Japan,Webber,RBR Renault,01:33.5,2010
South Korea,Alonso,Ferrari,01:50.3,2010
Brazil,Hamilton,McLaren Mercedes,01:13.9,2010
Abu Dhabi,Hamilton,McLaren Mercedes,01:41.3,2010
