Australia,Hakkinen,McLaren Mercedes,01:31.6,1998
Brazil,Hakkinen,McLaren Mercedes,01:19.3,1998
Argentina,Wurz,Benetton Playlife,01:28.2,1998
San Marino,Schumacher,Ferrari,01:29.3,1998
Spain,Hakkinen,McLaren Mercedes,01:24.3,1998
Monaco,Hakkinen,McLaren Mercedes,01:22.9,1998
Canada,Schumacher,Ferrari,01:19.4,1998
France,Coulthard,McLaren Mercedes,01:17.5,1998
Great Britain,Schumacher,Ferrari,01:35.7,1998
Austria,Coulthard,McLaren Mercedes,01:12.9,1998
Germany,Coulthard,McLaren Mercedes,01:46.1,1998
Hungary,Schumacher,Ferrari,01:19.3,1998
Belgium,Schumacher,Ferrari,02:03.8,1998
Italy,Hakkinen,McLaren Mercedes,01:25.1,1998
Luxembourg,Hakkinen,McLaren Mercedes,01:20.4,1998
Japan,Schumacher,Ferrari,01:40.2,1998
