South Africa,Prost,Williams Renault,01:19.5,1993
Brazil,Schumacher,Benetton Ford,01:20.0,1993
Europe,Senna,McLaren Ford,01:18.0,1993
San Marino,Prost,Williams Renault,01:26.1,1993
Spain,Schumacher,Benetton Ford,01:21.0,1993
Monaco,Prost,Williams Renault,01:23.6,1993
Canada,Schumacher,Benetton Ford,01:21.5,1993
France,Schumacher,Benetton Ford,01:19.3,1993
Great Britain,Hill,Williams Renault,01:22.5,1993
Germany,Schumacher,Benetton Ford,01:41.9,1993
Hungary,Prost,Williams Renault,01:19.6,1993
Belgium,Prost,Williams Renault,01:51.1,1993
Italy,Hill,Williams Renault,01:23.6,1993
Portugal,Hill,Williams Renault,01:14.9,1993
Japan,Prost,Williams Renault,01:41.2,1993
Australia,Hill,Williams Renault,01:15.4,1993
