Brazil,Schumacher,Benetton Renault,01:20.9,1995
Argentina,Schumacher,Benetton Renault,01:30.5,1995
San Marino,Berger,Ferrari,01:29.6,1995
Spain,Hill,Williams Renault,01:24.5,1995
Monaco,Alesi,Ferrari,01:24.6,1995
Canada,Schumacher,Benetton Renault,01:29.2,1995
France,Schumacher,Benetton Renault,01:20.2,1995
Great Britain,Hill,Williams Renault,01:29.8,1995
Germany,Schumacher,Benetton Renault,01:48.8,1995
Hungary,Hill,Williams Renault,01:20.2,1995
Belgium,Coulthard,Williams Renault,01:53.4,1995
Italy,Berger,Ferrari,01:26.4,1995
Portugal,Coulthard,Williams Renault,01:23.2,1995
Europe,Schumacher,Benetton Renault,01:21.2,1995
Pacific,Schumacher,Benetton Renault,01:16.4,1995
Japan,Schumacher,Benetton Renault,01:43.0,1995
Australia,Hill,Williams Renault,01:17.9,1995
