Australia,Frentzen,Williams Renault,01:30.6,1997
Brazil,Villeneuve,Williams Renault,01:18.4,1997
Argentina,Berger,Benetton Renault,01:28.0,1997
San Marino,Frentzen,Williams Renault,01:25.5,1997
Monaco,Schumacher,Ferrari,01:53.3,1997
Spain,Fisichella,Jordan Peugeot,01:22.2,1997
Canada,Coulthard,McLaren Mercedes,01:19.6,1997
France,Schumacher,Ferrari,01:17.9,1997
Great Britain,Schumacher,Ferrari,01:24.5,1997
Germany,Berger,Benetton Renault,01:45.7,1997
Hungary,Frentzen,Williams Renault,01:18.4,1997
Belgium,Villeneuve,Williams Renault,01:52.7,1997
Italy,Hakkinen,McLaren Mercedes,01:24.8,1997
Austria,Villeneuve,Williams Renault,01:11.8,1997
Luxembourg,Frentzen,Williams Renault,01:18.8,1997
Japan,Frentzen,Williams Renault,01:38.9,1997
Europe,Frentzen,Williams Renault,01:23.1,1997
