Australia,Räikkönen,McLaren Mercedes,01:27.7,2003
Malaysia,Schumacher,Ferrari,01:36.4,2003
Brazil,Barrichello,Ferrari,01:22.0,2003
San Marino,Schumacher,Ferrari,01:22.5,2003
Spain,Barrichello,Ferrari,01:20.1,2003
Austria,Schumacher,Ferrari,01:08.3,2003
Monaco,Räikkönen,McLaren Mercedes,01:14.5,2003
Canada,Alonso,Renault,01:16.0,2003
Europe,Räikkönen,McLaren Mercedes,01:32.6,2003
France,Montoya,Williams BMW,01:15.5,2003
Great Britain,Barrichello,Ferrari,01:22.2,2003
Germany,Montoya,Williams BMW,01:14.9,2003
Hungary,Montoya,Williams BMW,01:22.1,2003
Italy,Schumacher,Ferrari,01:21.8,2003
United States,Schumacher,Ferrari,01:11.5,2003
Japan,Schumacher,Williams BMW,01:33.4,2003
