Australia,Rosberg,Mercedes,01:32.5,2014
Malaysia,Hamilton,Mercedes,01:43.1,2014
Bahrain,Rosberg,Mercedes,01:37.0,2014
China,Rosberg,Mercedes,01:40.4,2014
Spain,Vettel,Red Bull Racing Renault,01:28.9,2014
Monaco,Räikkönen,Ferrari,01:18.5,2014
Canada,Massa,Williams Mercedes,01:18.5,2014
Austria,Perez,Force India Mercedes,01:12.1,2014
Great Britain,Hamilton,Mercedes,01:37.2,2014
Germany,Hamilton,Mercedes,01:19.9,2014
Hungary,Rosberg,Mercedes,01:25.7,2014
Belgium,Rosberg,Mercedes,01:50.5,2014
Italy,Hamilton,Mercedes,01:28.0,2014
Singapore,Hamilton,Mercedes,01:50.4,2014
Japan,Hamilton,Mercedes,01:51.6,2014
Russia,Bottas,Williams Mercedes,01:40.9,2014
United States,Vettel,Red Bull Racing Renault,01:41.4,2014
Brazil,Hamilton,Mercedes,01:13.6,2014
Abu Dhabi,Ricciardo,Red Bull Racing Renault,01:44.5,2014
