Australia,Kovalainen,McLaren Mercedes,01:27.4,2008
Malaysia,Heidfeld,Sauber BMW,01:35.4,2008
Bahrain,Kovalainen,McLaren Mercedes,01:33.2,2008
Spain,Räikkönen,Ferrari,01:21.7,2008
Turkey,Räikkönen,Ferrari,01:26.5,2008
Monaco,Räikkönen,Ferrari,01:16.7,2008
Canada,Räikkönen,Ferrari,01:17.4,2008
France,Räikkönen,Ferrari,01:16.6,2008
Great Britain,Räikkönen,Ferrari,01:32.1,2008
Germany,Heidfeld,Sauber BMW,01:16.0,2008
Hungary,Räikkönen,Ferrari,01:21.2,2008
Europe,Massa,Ferrari,01:38.7,2008
Belgium,Räikkönen,Ferrari,01:47.9,2008
Italy,Räikkönen,Ferrari,01:28.0,2008
Singapore,Räikkönen,Ferrari,01:45.6,2008
Japan,Massa,Ferrari,01:18.4,2008
China,Hamilton,McLaren Mercedes,01:36.3,2008
Brazil,Massa,Ferrari,01:13.7,2008
