Brazil,Piquet,Williams Honda,01:33.5,1986
Spain,Mansell,Williams Honda,01:27.2,1986
San Marino,Piquet,Williams Honda,01:28.7,1986
Monaco,Prost,McLaren TAG,01:26.6,1986
Belgium,Prost,McLaren TAG,01:59.3,1986
Canada,Piquet,Williams Honda,01:25.4,1986
Detroit,Piquet,Williams Honda,01:41.2,1986
France,Mansell,Williams Honda,01:10.0,1986
Great Britain,Mansell,Williams Honda,01:09.6,1986
Germany,Berger,Benetton BMW,01:46.6,1986
Hungary,Piquet,Williams Honda,01:31.0,1986
Austria,Berger,Benetton BMW,01:29.4,1986
Italy,Fabi,Benetton BMW,01:28.1,1986
Portugal,Mansell,Williams Honda,01:20.9,1986
Mexico,Piquet,Williams Honda,01:19.4,1986
Australia,Piquet,Williams Honda,01:20.8,1986
