Australia,Schumacher,Ferrari,01:32.1,1999
Brazil,Hakkinen,McLaren Mercedes,01:18.4,1999
San Marino,Schumacher,Ferrari,01:28.5,1999
Monaco,Hakkinen,McLaren Mercedes,01:22.3,1999
Spain,Schumacher,Ferrari,01:25.0,1999
Canada,Irvine,Ferrari,01:20.4,1999
France,Coulthard,McLaren Mercedes,01:19.2,1999
Great Britain,Hakkinen,McLaren Mercedes,01:28.3,1999
Austria,Hakkinen,McLaren Mercedes,01:12.1,1999
Germany,Coulthard,McLaren Mercedes,01:45.3,1999
Hungary,Coulthard,McLaren Mercedes,01:20.7,1999
Belgium,Hakkinen,McLaren Mercedes,01:54.0,1999
Italy,Schumacher,Williams Supertec,01:25.6,1999
Europe,Hakkinen,McLaren Mercedes,01:21.3,1999
Malaysia,Frentzen,Jordan Mugen Honda,01:40.6,1999
Japan,Schumacher,Ferrari,01:41.3,1999
