Australia,Villeneuve,Williams Renault,01:33.4,1996
Brazil,Hill,Williams Renault,01:21.5,1996
Argentina,Alesi,Benetton Renault,01:29.4,1996
Europe,Hill,Williams Renault,01:21.4,1996
San Marino,Hill,Williams Renault,01:28.9,1996
Monaco,Alesi,Benetton Renault,01:25.2,1996
Spain,Schumacher,Ferrari,01:45.5,1996
Canada,Villeneuve,Williams Renault,01:21.9,1996
France,Villeneuve,Williams Renault,01:18.6,1996
Great Britain,Villeneuve,Williams Renault,01:29.3,1996
Germany,Hill,Williams Renault,01:46.5,1996
Hungary,Hill,Williams Renault,01:20.1,1996
Belgium,Berger,Benetton Renault,01:53.1,1996
Italy,Schumacher,Ferrari,01:26.1,1996
Portugal,Villeneuve,Williams Renault,01:22.9,1996
Japan,Villeneuve,Williams Renault,01:44.0,1996
