Australia,Massa,Ferrari,01:28.9,2011
Malaysia,Webber,Red Bull Racing Renault,01:40.6,2011
China,Webber,Red Bull Racing Renault,01:39.0,2011
Turkey,Webber,Red Bull Racing Renault,01:29.7,2011
Spain,Hamilton,McLaren Mercedes,01:26.7,2011
Monaco,Webber,Red Bull Racing Renault,01:16.2,2011
Canada,Button,McLaren Mercedes,01:17.0,2011
Europe,Vettel,Red Bull Racing Renault,01:41.9,2011
Great Britain,Alonso,Ferrari,01:34.9,2011
Germany,Hamilton,McLaren Mercedes,01:34.3,2011
Hungary,Massa,Ferrari,01:23.4,2011
Belgium,Webber,Red Bull Racing Renault,01:49.9,2011
Italy,Hamilton,McLaren Mercedes,01:26.2,2011
Singapore,Button,McLaren Mercedes,01:48.5,2011
Japan,Button,McLaren Mercedes,01:36.6,2011
South Korea,Vettel,Red Bull Racing Renault,01:39.6,2011
India,Vettel,Red Bull Racing Renault,01:27.2,2011
Abu Dhabi,Webber,Red Bull Racing Renault,01:42.6,2011
Brazil,Webber,Red Bull Racing Renault,01:15.3,2011
