France, Clark, Lotus Climax, 02:21.6, 1963
Great Britain, Surtees, Ferrari, 01:36.0, 1963
Germany, Surtees, Ferrari, 08:47.0, 1963
Italy, Clark, Lotus Climax, 01:38.9, 1963
United States, Clark, Lotus Climax, 01:14.5, 1963
Mexico, Clark, Lotus Climax, 01:58.1, 1963
South Africa, Gurney, Brabham Climax, 01:29.1, 1963
Monaco, Hill, BRM, 01:33.9, 1964
Netherlands, Clark, Lotus Climax, 01:32.8, 1964
Belgium, Gurney, Brabham Ford, 03:49.2, 1964
France, Brabham, Brabham Ford, 02:11.4, 1964
Great Britain, Clark, Lotus Climax, 01:38.8, 1964
Germany, Surtees, Ferrari, 08:39.0, 1964
Austria, Gurney, Brabham Ford, 01:10.6, 1964
Italy, Surtees, Ferrari, 01:38.8, 1964
United States, Clark, Lotus Climax, 01:12.7, 1964
Mexico, Clark, Lotus Climax, 01:58.4, 1964
South Africa, Clark, Lotus Climax, 01:27.6, 1965
Monaco, Hill, BRM, 01:31.7, 1965
Belgium, Clark, Lotus Climax, 04:12.9, 1965
France, Clark, Lotus Climax, 03:18.9, 1965
Great Britain, Hill, BRM, 01:32.2, 1965
Netherlands, Clark, Lotus Climax, 01:30.6, 1965
Germany, Clark, Lotus Climax, 08:24.1, 1965
Italy, Clark, Lotus Climax, 01:36.4, 1965
United States, Hill, BRM, 01:11.9, 1965
Mexico, Gurney, Brabham Climax, 01:55.8, 1965
Monaco, Bandini, Ferrari, 01:29.8, 1966
Belgium, Surtees, Ferrari, 04:18.7, 1966
France, Bandini, Ferrari, 02:11.3, 1966
Great Britain, Brabham, Brabham Climax, 01:37.0, 1966
Netherlands, Hulme, Brabham Climax, 01:30.6, 1966
Germany, Surtees, Cooper Maserati, 08:49.0, 1966
Italy, Scarfiotti, Ferrari, 01:32.4, 1966
United States, Surtees, Cooper Maserati, 01:09.7, 1966
Mexico, Ginther, Honda, 01:53.8, 1966
South Africa, Hulme, Brabham Repco, 01:29.9, 1967
Monaco, Clark, Lotus Climax, 01:29.5, 1967
Netherlands, Clark, Lotus Climax, 01:28.1, 1967
Belgium, Gurney, Eagle Climax, 03:31.9, 1967
France, Hill, Lotus Climax, 01:36.7, 1967
Great Britain, Hulme, Brabham Repco, 01:27.0, 1967
Germany, Gurney, Eagle Climax, 08:15.1, 1967
Canada, Clark, Lotus Climax, 01:23.1, 1967
Italy, Clark, Lotus Climax, 01:28.5, 1967
United States, Hill, Lotus Climax, 01:06.0, 1967
Mexico, Clark, Lotus Climax, 01:48.1, 1967
South Africa, Clark, Lotus Ford, 01:23.7, 1968
Spain, Beltoise, Matra Ford, 01:28.3, 1968
Monaco, Attwood, BRM, 01:28.1, 1968
Belgium, Surtees, Honda, 03:30.5, 1968
Netherlands, Beltoise, Matra Ford, 01:45.9, 1968
France, Rodriguez, BRM, 02:11.5, 1968
Great Britain, Siffert, Lotus Ford, 01:29.7, 1968
Germany, Stewart, Matra Ford, 09:36.0, 1968
Italy, Oliver, Lotus Ford, 01:26.5, 1968
Canada, Siffert, Lotus Ford, 01:35.1, 1968
United States, Stewart, Matra Ford, 01:05.2, 1968
Mexico, Siffert, Lotus Ford, 01:44.2, 1968
South Africa, Stewart, Matra Ford, 01:21.6, 1969
