Australia,Button,McLaren Mercedes,01:29.2,2012
Malaysia,Räikkönen,Lotus Renault,01:40.7,2012
China,Kobayashi,Sauber Ferrari,01:40.0,2012
Bahrain,Vettel,Red Bull Racing Renault,01:36.4,2012
Spain,Grosjean,Lotus Renault,01:26.3,2012
Monaco,Perez,Sauber Ferrari,01:17.3,2012
Canada,Vettel,Red Bull Racing Renault,01:15.8,2012
Europe,Rosberg,Mercedes,01:42.2,2012
Great Britain,Räikkönen,Lotus Renault,01:34.7,2012
Germany,Schumacher,Mercedes,01:18.7,2012
Hungary,Vettel,Red Bull Racing Renault,01:24.1,2012
Belgium,Senna,Williams Renault,01:52.8,2012
Italy,Rosberg,Mercedes,01:27.2,2012
Singapore,Hulkenberg,Force India Mercedes,01:51.0,2012
Japan,Vettel,Red Bull Racing Renault,01:35.8,2012
South Korea,Webber,Red Bull Racing Renault,01:42.0,2012
India,Button,McLaren Mercedes,01:28.2,2012
Abu Dhabi,Vettel,Red Bull Racing Renault,01:44.0,2012
United States,Vettel,Red Bull Racing Renault,01:39.3,2012
Brazil,Hamilton,McLaren Mercedes,01:18.1,2012
