team_key,colour_key,meeting_key,session_key
1,1,1140,7763
1,1,1140,7764
1,1,1140,9222
1,1,1141,7765
1,1,1141,7766
1,1,1141,7767
1,1,1141,7768
1,1,1143,7787
1,1,1207,9069
1,1,1207,9278
1,1,1208,9071
1,1,1208,9078
1,1,1210,9088
1,1,1210,9089
1,1,1210,9090
1,1,1210,9094
1,1,1211,9095
1,1,1211,9096
1,1,1211,9097
1,1,1211,9098
1,1,1211,9102
1,1,1212,9110
1,1,1213,9112
1,1,1213,9118
1,1,1214,9119
1,1,1214,9120
1,1,1215,9127
1,1,1215,9128
1,1,1215,9129
1,1,1215,9223
1,1,1216,9134
1,1,1216,9135
1,1,1217,9144
1,1,1217,9145
1,1,1217,9149
1,1,1218,9150
1,1,1218,9151
1,1,1218,9153
1,1,1219,9158
1,1,1219,9159
1,1,1219,9161
1,1,1219,9165
1,1,1220,9166
1,1,1220,9168
1,1,1220,9173
1,1,1221,9214
1,1,1221,9215
1,1,1221,9221
1,1,1222,9207
1,1,1222,9213
1,1,1223,9174
1,1,1223,9175
1,1,1223,9177
1,1,1223,9181
1,1,1224,9204
1,1,1224,9205
1,1,1224,9304
1,1,1224,9308
1,1,1225,9182
1,1,1225,9183
1,1,1225,9184
1,1,1225,9189
1,1,1226,9190
1,1,1226,9193
1,1,1226,9197
10,16,1229,9466
10,16,1229,9467
10,16,1229,9468
10,16,1229,9472
10,16,1230,9473
10,16,1230,9474
10,16,1230,9475
10,16,1230,9476
10,16,1230,9480
10,16,1231,9483
10,16,1231,9484
11,17,1140,7763
11,17,1140,7764
11,17,1140,9222
11,17,1141,7765
11,17,1141,7766
11,17,1141,7767
11,17,1141,7768
11,17,1143,7787
11,17,1207,9069
11,17,1207,9278
11,17,1208,9071
11,17,1208,9078
11,17,1210,9088
11,17,1210,9089
11,17,1210,9090
11,17,1210,9094
11,17,1211,9095
11,17,1211,9096
11,17,1211,9097
11,17,1211,9098
11,17,1211,9102
11,17,1212,9110
11,17,1213,9112
11,17,1213,9118
11,17,1214,9119
11,17,1214,9120
11,17,1215,9127
11,17,1215,9128
11,17,1215,9129
11,17,1215,9223
11,17,1216,9134
11,17,1216,9135
11,17,1217,9144
11,17,1217,9145
11,17,1217,9149
11,17,1218,9150
11,17,1218,9151
11,17,1218,9153
11,17,1219,9158
11,17,1219,9159
11,17,1219,9161
11,17,1219,9165
11,17,1220,9166
11,17,1220,9168
11,17,1220,9173
11,17,1221,9214
11,17,1221,9215
11,17,1221,9221
11,17,1222,9207
11,17,1222,9213
11,17,1223,9174
11,17,1223,9175
11,17,1223,9177
11,17,1223,9181
11,17,1224,9204
11,17,1224,9205
11,17,1224,9304
11,17,1224,9308
11,17,1225,9182
11,17,1225,9183
11,17,1225,9184
11,17,1225,9189
11,17,1226,9190
11,17,1226,9193
11,17,1226,9197
11,17,1229,9466
11,17,1229,9467
11,17,1229,9468
11,17,1229,9472
11,17,1230,9473
11,17,1230,9474
11,17,1230,9475
11,17,1230,9476
11,17,1230,9480
11,17,1231,9483
11,17,1231,9484
12,18,1140,7763
12,18,1140,7764
12,18,1140,9222
12,18,1141,7765
12,18,1141,7766
12,18,1141,7767
