Circuit,circuitTypeID,circuitDirectionID,Location,Country,LastLengthUsed,GrandsPrix,Season,GrandsPrixHeld
Nivelles-Baulers,2,1,Nivelles,Belgium,3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2
Fair Park,1,2,Dallas,United States,3.901 km (2.424 mi),Dallas Grand Prix,1984,1
Detroit Street Circuit,1,2,Detroit,United States,4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7
Donington Park,2,1,Castle Donington,United Kingdom,4.020 km (2.498 mi),European Grand Prix,1993,1
Fuji Speedway,2,1,Oyama,Japan,4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4
Hockenheimring,2,1,Hockenheim,Germany,4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37
Hungaroring,2,1,Mogyoród,Hungary,4.381 km (2.722 mi),Hungarian Grand Prix,1986–2023,38
Indianapolis Motor Speedway,2,2,Speedway,United States,4.023 km (2.500 mi),Indianapolis 500,1950–1960,11
Indianapolis Motor Speedway,2,1,Speedway,United States,4.192 km (2.605 mi),United States Grand Prix,2000–2007,8
Istanbul Park,2,2,Istanbul,Turkey,5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9
Jeddah Corniche Circuit,1,2,Jeddah,Saudi Arabia,6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2023,3
Korean International Circuit,2,2,Yeongam,South Korea,5.615 km (3.489 mi),Korean Grand Prix,2010–2013,4
Kyalami,2,2,Midrand,South Africa,4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20
Las Vegas Street Circuit,1,2,Paradise,United States,6.120 km (3.803 mi),Las Vegas Grand Prix,2023,0
Las Vegas Strip Street Circuit,1,2,Paradise,United States,6.120 km (3.803 mi),Las Vegas Grand Prix,2023,0
Long Beach,1,1,Long Beach,United States,3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8
Losail International Circuit,2,1,Lusail,Qatar,5.418 km (3.367 mi),Qatar Grand Prix,2021,1
Marina Bay Street Circuit,1,2,Marina Bay,Singapore,5.063 km (3.146 mi),Singapore Grand Prix,"2008–2019, 2022",13
Miami International Autodrome,1,2,Miami Gardens,United States,5.412 km (3.363 mi),Miami Grand Prix,2022–2023,2
Montjuïc,1,2,Barcelona,Spain,3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4
Mosport International Raceway,2,1,Bowmanville,Canada,3.957 km (2.459 mi),Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8
Nürburgring,2,1,Nürburg,Germany,5.148 km (3.199 mi),German Grand Prix,"1951–1954, 1956–1958, 1961–1969, 1971–1976, 1985, 2009, 2011, 2013",28
Nürburgring,2,1,Nürburg,Germany,5.148 km (3.199 mi),European Grand Prix,"1984, 1995–1996, 1999–2007",11
Nürburgring,2,1,Nürburg,Germany,5.148 km (3.199 mi),Luxembourg Grand Prix,1997–1998,2
Nürburgring,2,1,Nürburg,Germany,5.148 km (3.199 mi),Eifel Grand Prix,2020,1
Pescara Circuit,3,1,Pescara,Italy,25.800 km (16.031 mi),Pescara Grand Prix,1957,1
Phoenix Street Circuit,1,2,Phoenix,United States,3.720 km (2.312 mi),United States Grand Prix,1989–1991,3
Prince George Circuit,2,1,East London,South Africa,3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3
Red Bull Ring,2,1,Spielberg,Austria,4.318 km (2.683 mi),"Austrian Grand Prix,
Styrian Grand Prix","1970–1987, 1997–2003, 2014–2023",35
Red Bull Ring,2,1,Spielberg,Austria,4.318 km (2.683 mi),Styrian Grand Prix,2020–2021,2
Riverside International Raceway,2,1,Moreno Valley,United States,5.271 km (3.275 mi),United States Grand Prix,1960,1
Rouen-Les-Essarts,3,1,Orival,France,6.542 km (4.065 mi),French Grand Prix,"1952, 1957, 1962, 1964, 1968",5
Scandinavian Raceway,2,1,Anderstorp,Sweden,4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6
Sebring International Raceway,3,1,Sebring,United States,8.356 km (5.192 mi),United States Grand Prix,1959,1
Sepang International Circuit,2,1,Sepang,Malaysia,5.543 km (3.444 mi),Malaysian Grand Prix,1999–2017,19
Shanghai International Circuit,2,1,Shanghai,China,5.451 km (3.387 mi),Chinese Grand Prix,2004–2019,16
Silverstone Circuit,2,1,Silverstone,United Kingdom,5.891 km (3.660 mi),"British Grand Prix,
70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2023",57
Silverstone Circuit,2,1,Silverstone,United Kingdom,5.891 km (3.660 mi),70th Anniversary Grand Prix,2020,1
Sochi Autodrom,2,1,Sochi,Russia,5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8
Suzuka Circuit,2,3,Suzuka,Japan,5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2019, 2022",32
Okayama International Circuit,2,1,Mimasaka,Japan,3.703 km (2.301 mi),Pacific Grand Prix,1994–1995,2
Valencia Street Circuit,1,1,Valencia,Spain,5.419 km (3.367 mi),European Grand Prix,2008–2012,5
Watkins Glen,2,1,Watkins Glen,United States,5.430 km (3.374 mi),United States Grand Prix,1961–1980,20
Yas Marina Circuit,2,2,Abu Dhabi,United Arab Emirates,5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2022,14
Zeltweg,3,1,Zeltweg,Austria,3.186 km (1.980 mi),Austrian Grand Prix,1964,1
